data	entrevistador	entrevistado	inicio_pergunta	fim_pergunta	inicio_resposta	fim_resposta	pergunta	resposta
2022-02-01	9	32	00:05:31	00:07:08	00:07:08	00:07:37	Excelentíssimo senhor procurador-geral de justiça, Dr. Jaaba Soares Júnior. Em nome de quem eu cumprimento aqui os meus colegas de banca, procuradores e promotores de justiça presentes, servidores do Ministério Público, os candidatos e também aqueles que nos assistem pela pela internet nesse momento. Se Vossa Excelência me permite, Dr. Jaaba, eu queria fazer um brevíssimo registro apenas para elogiar o belo trabalho que tem sido realizado pela Secretaria do Concurso, pelos nossos servidores, mas especialmente pela minha dileta e queridíssima amiga, Dra. Célia Beatriz, Secretária do Concurso, dona de uma paciência realmente sem limite. Feito esse breve registro, eu agora já inauguro, digamos assim, essa última fase do concurso, tratando do tema atinente ao grupo 1, especificamente em relação aos temas do ponto sorteado, ponto 4. Direitos fundamentais, conceitos, características e abrangência, normas garantidoras e poder constituinte. Dr. Lucas, boa tarde. Boa tarde, Excelência. Primeira pergunta, breve e objetiva. Existem direitos fundamentais fora da Constituição Federal?	Excelência, bloco de constitucionalidade em tratados internacionais de direitos humanos recepcionados com o quórum qualificado do artigo 5º, parágrafo 3º. Além disso, reconhece-se direitos fundamentais também em tratados de direitos humanos com força, conforme reconhecido pelo Supremo Tribunal Federal, supranacional. Então, há uma cláusula de abertura em relação a esse tema, que permite direitos fundamentais fora do texto da Constituição.
2022-02-01	9	32	00:07:39	00:07:47	00:07:51	00:08:25	Só complementando, quando a Constituição fala em tratados internacionais, ela inclui também acordos internacionais?	Excelência, os acordos internacionais, ao contrário dos tratados, possuem um regimento de recepção diverso. Contudo, é sim possível a verificação de direitos fundamentais mediante celebração de acordos entre entes internacionais. Contudo, a previsão do artigo 5º, parágrafo 3º, salvo melhor juízo, se refere expressamente a tratados internacionais recepcionados e de direitos humanos.
2022-02-01	9	32	00:08:27	00:08:30	00:08:32	00:08:59	Existem direitos fundamentais em textos de lei?	Sim, Excelência. Existem direitos fundamentais também em textos de lei. Por exemplo, ainda que busque seu fundamento de validade na Constituição, o Código Penal, salvo melhor juízo, no seu artigo 1º, prevê a legalidade, que é, sem dúvida nenhuma, um direito fundamental. Além disso, existem direitos fundamentais na Lei 8.080, na Lei do SUS. Direitos fundamentais estão por todo o ordenamento e podem estar em leis.
2022-02-01	9	32	00:08:59	00:09:24	00:09:25	00:10:12	Na ausência de lei, o direito fundamental pode resultar de uma interpretação evolutiva. Um exemplo concreto. Casamento entre pessoas do mesmo sexo. Se não há lei, isso impede a realização do casamento? Sim, não? E por quê?	Excelência, não impede. Inclusive, o tema foi apreciado pelo Supremo Tribunal Federal, salvo melhor juízo, a DPF, julgada em 2011, que reconheceu que, apesar da literalidade constitucional mencionar o não-estado entre homem e mulher, por uma decorrência da interpretação evolutiva, seria possível extrair do texto constitucional o permissivo, e aí interpretando também o artigo do Código Civil, que era no mesmo sentido, autorizando a celebração de casamento entre pessoas do mesmo sexo. Inclusive, posteriormente, o tema foi regulamentado em resolução do CNJ, que veda que os tabelionatos não lavrem escrituras públicas de união estável ou realize algum fato impeditivo a celebração de casamento entre pessoas do mesmo sexo.
2022-02-01	9	32	00:10:13	00:10:19	00:10:23	00:10:52	O senhor acha possível, então, se falar em direito fundamental a casamento?	Excelência, considerando que a Constituição, ela prevê o direito fundamental de todas as pessoas estabelecerem sua família, sem intervenção do Estado no que diz respeito a planejamento familiar, e o casamento é previsto como forma de entidade familiar na Constituição, é possível dizer que o direito fundamental abarca o direito a escolher casar-se ou não, ou seja, há um direito fundamental ao casamento.
2022-02-01	9	32	00:10:56	00:11:00	00:11:01	00:12:08	No que consiste a eficácia horizontal dos direitos fundamentais?	Excelência, a eficácia horizontal é aquela que ocorre entre particulares. Vale fazer uma pequena disgressão no sentido de que os direitos fundamentais, inicialmente, foram pensados para a relação vertical como forma de limitação do poder do Estado, dentro do constitucionalismo e superando o modelo absolutista. Nesse sentido, a doutrina estabelece três possíveis eficácias. A eficácia vertical, que se dá entre particular e Estado. A eficácia horizontal, que ocorre entre particulares, reconhecida, por exemplo, no julgamento relativo a direito de associado não ser excluído, sem ter observado suas garantias, a contraditória e a ampla defesa pelo Supremo Tribunal Federal. E mais, recentemente já se fala, doutrinariamente, em eficácia diagonal, que seria quando dois particulares estivessem em relação, porém uma relação desequilibrada, como, por exemplo, ocorre entre o consumidor reconhecido absolutamente vulnerável pelo CDC e o fornecedor. Excelência.
2022-02-01	9	32	00:12:09	00:12:21	00:12:21	00:12:59	Dentro dessa sua conceituação, essa eficácia horizontal, de alguma forma, ela se confundiria com o chamado efeito irradiante do direito fundamental?	Excelência, efeito irradiante dos direitos fundamentais seria aquela noção de filtragem constitucional, ou seja, a necessidade dos direitos fundamentais, o direito constitucional, ser vetor interpretativo de todo o ordenamento, criando direitos, mas também condicionando a atuação do Estado. Nesse sentido, é possível falar que a eficácia irradiante dos direitos fundamentais é verificada entre relações, entre particulares, portanto, há sim uma conexão entre eficácia irradiante dos direitos fundamentais e eficácia horizontal.
2022-02-01	9	32	00:13:02	00:13:16	00:13:16	00:14:10	O artigo 5º da Constituição fala em direitos e deveres fundamentais, e o artigo não descreve nenhum dever fundamental. Existem realmente deveres fundamentais? Se existem, onde eles estão?	Excelência, em relação a esse tema, existem duas posições doutrinárias, pelo menos duas posições doutrinárias, no sentido de que existem deveres fundamentais constitucionais e parte da doutrina entende que eles teriam previsão reflexa dentro dos direitos fundamentais, ou seja, se há um direito fundamental à saúde, por reflexo, há um dever fundamental de se tomar certas medidas em prol da saúde. Outra parte da doutrina reconhece a possibilidade de extrair deveres fundamentais do dispositivo que prevê a solidariedade. Então, há um dever de solidariedade do qual se extraem os deveres fundamentais. O professor Ingo Sarlat, por exemplo, trabalha com essa noção de deveres fundamentais, justamente fazendo esse paralelo.
2022-02-01	9	32	00:14:14	00:14:22	00:14:23	00:15:30	Uma última pergunta. O poder constituinte originário é ilimitado?	Excelência, o poder constituinte originário seria aquele poder que dá origem a uma nova ordem constitucional. Do ponto de vista de uma concepção jusnaturalista, seria possível reconhecer uma limitação do poder constituinte originário, na medida em que seria conformado pelas regras e pelos direitos naturais. Adota-se, contudo, uma concepção positiva, positivista, no sentido de que, sim, o poder constituinte originário seria um poder, de fato, portanto, a princípio, ilimitado e não condicionado pelo direito posto, na medida que inaugura uma nova ordem constitucional. Contudo, modernamente, já se fala em limitações extrajurídicas, como, por exemplo, a própria vedação ao retrocesso. Há também que se falar em limitações conforme direitos humanos tratados internacionalmente, mas, sendo bem objetivo, do ponto de vista de uma concepção positivista, é, sim, incondicionado e ilimitado.
2022-02-01	9	32	00:15:33	00:15:39	00:15:39	00:16:16	Os direitos adquiridos, qualquer deles, devem ser obedecidos, devem ser respeitados ou também não?	Em relação ao poder constituinte originário, prevalece que não há uma obrigatoriedade de respeito aos direitos adquiridos, diferentes, portanto, do poder constituinte derivado. Este, sim, deve observar direitos adquiridos. Vale ressaltar, contudo, a possibilidade do próprio legislador constituinte originário constar em seu texto constitucional a ressalva a direitos adquiridos na ordem constitucional anterior. Portanto, até mesmo como uma consequência desse poder ser ilimitado, incondicionado, ele pode dispor que deve-se respeitar direitos adquiridos.
2022-02-01	4	32	00:16:29	00:17:40	00:17:42	00:19:09	Excelentíssimo, Sr. Procurador-Geral de Justiça, digníssimo presidente dessa banca examinadora, em nome de quem cumprimento todos os integrantes dessa banca, senhores candidatos, senhores servidores, Dr. Fernando, que está online conosco. Inicialmente, eu também quero aderir as palavras que o Dr. Renato dirigiu à Secretaria e concordar, dizer que realmente tem feito um trabalho brilhante, Dr. Sélvia, e não só com a sua paciência, como sua competência, organização, vem a se desenvolver num trabalho digno de muitos elogios, Sr. Procurador-Geral, o senhor também é testemunho. Dito isso, Dr. Lucas, boa tarde. Boa tarde, Excelência. O ponto hoje sorteado de direito administrativo é a administração indireta, autarquias, fundações públicas, empresas públicas e de economia mista, agências executivas e reguladoras, consórcio público, contratos de gestão. Dr. Lucas, como é formada a administração indireta e qual é o objetivo?	Excelência, a administração pública, ela pode ser dividida em administração direta, que são os entes federativos, União, Estado, Distrito Federal e Municípios, e também em administração indireta, que são aquelas pessoas jurídicas de direito privado e de direito público, por exemplo, de direito público as autarquias, que são criadas por lei, e as fundações autárquicas, e também de direito privado as empresas estratais, que se dividem em empresas públicas e sociedades de economia mista, que são criadas, conforme orientação doutrinária, pelo fenômeno da descentralização, que é a criação de uma entidade especializada em determinada função administrativa. Difere-se, portanto, da desconcentração que ocorre dentro da noção de hierarquia no mesmo órgão, sem criação de nova pessoa jurídica. Além disso, o fundamento que autoriza a criação e promove a criação dessas pessoas jurídicas, fruto de descentralização, é justamente, conforme doutrina de Maria Silva de Pietro, o princípio da eficiência, incluído pela Emenda Constitucional 19 de 1998, no caput, do artigo 37 da Constituição, portanto, como princípio expresso da administração pública, e que autoriza essa especialização como forma de melhor prestar determinada função administrativa.
2022-02-01	4	32	00:19:13	00:19:17	00:19:18	00:19:38	Como é que elas são formadas? Como é que elas são criadas, essas pessoas jurídicas?	Excelência, as pessoas jurídicas da administração indireta, de direito público, são, por ordem constitucional, criadas por lei. Já as pessoas jurídicas de direito privado são autorizadas à sua criação mediante lei. Então, há essa diferença na sua criação por ordem do texto constitucional.
2022-02-01	4	32	00:19:40	00:19:45	00:19:46	00:20:29	E é necessária adição de alguma lei especial para a criação das subsidiárias?	Excelência, as subsidiárias decorrem de um permissivo constitucional que, no contexto das empresas estatais, autoriza a criação e, pelo menos pela literalidade constitucional, exige uma lei específica para a sua criação. Contudo, o Supremo Tribunal Federal, discorrendo sobre o tema, autorizou a interpretação no sentido de que a autorização genérica na lei que criou determinada empresa estatal, prevendo a possibilidade de criação de empresas subsidiárias, não haveria necessidade de uma legislação específica.
2022-02-01	4	32	00:20:30	00:20:36	00:20:37	00:20:39	Podem ser instituídas entidades de administração indireta vinculadas ao município?	Perdoem, excelência, poderia repetir?
2022-02-01	4	32	00:20:40	00:20:45	00:20:46	00:21:12	Se podem ser instituídas entidades de administração indireta vinculadas ao município?	Excelência, é sim possível a criação de entidades de administração indireta no âmbito dos municípios, seguindo o mesmo regramento constitucional previsto para os demais entes. Ou seja, criação por lei nas autarquias e fundações de direito público ou autorização por lei nas demais pessoas de direito privado.
2022-02-01	4	32	00:21:15	00:21:23	00:21:24	00:22:01	Essas entidades de administração indireta sofrem algum tipo de controle?	Sim, excelência, elas sofrem o controle chamado controle por vinculação, que, diferente do que ocorre nas entidades, nos órgãos decorrentes da desconcentração, que regem-se pela hierarquia e, portanto, mediante autotutela, na administração indireta, vigora o controle ministerial que se fala, perdão, excelência, retificando, na administração indireta, ao controle por supervisão, controle por vinculação, justamente pela ausência de hierarquia nestes entes.
2022-02-01	4	32	00:22:02	00:22:16	00:22:17	00:23:02	O senhor pode descrever os controles que podem ser exercidos sobre as entidades da administração indireta? Quais são esses controles? De que maneira que eles são exercidos?	Excelência, a administração, as entidades da administração indireta, elas se submetem tanto a um controle via tutela, via vinculação, supervisão, mediante o controle da administração direta que descentralizou, quanto também a possibilidade de autotutela dentro da própria entidade descentralizada, que poderá rever seus atos obrigatoriamente, no caso de atos ilícitos, anulação, como também diante da possibilidade discricionária, mediante conveniência e oportunidade, que é chamado doutrinariamente de revogação.
2022-02-01	4	32	00:23:03	00:23:06	00:23:11	00:23:52	Tem algum tipo de controle financeiro?	Excelência, há sim controle financeiro. Como regra, como são pessoas jurídicas descentralizadas, elas se submetem ao controle tanto do tribunal de contas, como também o controle interno pela própria pessoa jurídica. No que diz respeito às autarquias chamadas especiais, há uma maior autonomia financeira e organizacional, como ocorre, por exemplo, nas autarquias culturais, que são as universidades públicas. Mas há sim essa espécie de controle financeiro, que é realizada tanto pelo tribunal de contas, como internamente dentro da pessoa jurídica.
